Fecha,Periodo,Monto
10/01/2002,509,9.2444
11/01/2002,510,9.2734
14/01/2002,511,9.1923
15/01/2002,512,9.1711
16/01/2002,513,9.1993
17/01/2002,514,9.1255
18/01/2002,515,9.119
21/01/2002,516,9.1219
22/01/2002,517,9.1521
23/01/2002,518,9.148
24/01/2002,519,9.1227
25/01/2002,520,9.1295
28/01/2002,521,9.1585
29/01/2002,522,9.1714
30/01/2002,523,9.1974
31/01/2002,524,9.1463
01/02/2002,525,9.1544
04/02/2002,526,9.1627
06/02/2002,527,9.1294
07/02/2002,528,9.1381
08/02/2002,529,9.1465
11/02/2002,530,9.0787
12/02/2002,531,9.0896
13/02/2002,532,9.0607
14/02/2002,533,9.0838
15/02/2002,534,9.0652
18/02/2002,535,9.0638
19/02/2002,536,9.069
20/02/2002,537,9.0858
21/02/2002,538,9.0757
22/02/2002,539,9.1061
25/02/2002,540,9.0831
26/02/2002,541,9.0815
27/02/2002,542,9.0919
28/02/2002,543,9.1303
01/03/2002,544,9.0957
04/03/2002,545,9.0723
05/03/2002,546,9.077
06/03/2002,547,9.0797
07/03/2002,548,9.0753
08/03/2002,549,9.0728
11/03/2002,550,9.0703
12/03/2002,551,9.0753
13/03/2002,552,9.1153
14/03/2002,553,9.1182
15/03/2002,554,9.0929
18/03/2002,555,9.0733
19/03/2002,556,9.0742
20/03/2002,557,9.0707
22/03/2002,558,9.0403
25/03/2002,559,9.0298
26/03/2002,560,9.0243
27/03/2002,561,9.016
01/04/2002,562,9.0049
02/04/2002,563,8.998
03/04/2002,564,9.0398
04/04/2002,565,9.0468
05/04/2002,566,9.0266
08/04/2002,567,9.0217
09/04/2002,568,9.0422
10/04/2002,569,9.0446
11/04/2002,570,9.0771
12/04/2002,571,9.0749
15/04/2002,572,9.1714
16/04/2002,573,9.1597
17/04/2002,574,9.1904
18/04/2002,575,9.2345
19/04/2002,576,9.2247
22/04/2002,577,9.2663
23/04/2002,578,9.2698
24/04/2002,579,9.2908
25/04/2002,580,9.3528
26/04/2002,581,9.3196
29/04/2002,582,9.3542
30/04/2002,583,9.372
02/05/2002,584,9.417
03/05/2002,585,9.4978
06/05/2002,586,9.4913
07/05/2002,587,9.4828
08/05/2002,588,9.417
09/05/2002,589,9.4463
10/05/2002,590,9.5102
13/05/2002,591,9.4933
14/05/2002,592,9.5204
15/05/2002,593,9.4717
16/05/2002,594,9.4863
17/05/2002,595,9.471
20/05/2002,596,9.491
21/05/2002,597,9.5133
22/05/2002,598,9.5245
23/05/2002,599,9.5165
24/05/2002,600,9.5585
27/05/2002,601,9.57
28/05/2002,602,9.5586
29/05/2002,603,9.6134
30/05/2002,604,9.7148
31/05/2002,605,9.6562
03/06/2002,606,9.6398
04/06/2002,607,9.706
05/06/2002,608,9.7345
06/06/2002,609,9.776
07/06/2002,610,9.7412
10/06/2002,611,9.6993
11/06/2002,612,9.6607
12/06/2002,613,9.7035
13/06/2002,614,9.6532
14/06/2002,615,9.6684
17/06/2002,616,9.6078
18/06/2002,617,9.6258
19/06/2002,618,9.6983
20/06/2002,619,9.7676
21/06/2002,620,9.9473
24/06/2002,621,9.936
25/06/2002,622,9.8203
26/06/2002,623,9.9998
27/06/2002,624,9.9615
28/06/2002,625,9.9568
01/07/2002,626,9.9283
02/07/2002,627,9.9612
03/07/2002,628,9.967
04/07/2002,629,9.9502
05/07/2002,630,9.9034
08/07/2002,631,9.9223
09/07/2002,632,9.8552
10/07/2002,633,9.8338
11/07/2002,634,9.7979
12/07/2002,635,9.7072
